Type,UPC,Title,Description,Category,Partner,SKU,Price,Stock,binding,number_of_pages,publisher,language,publication_date,weight,author
Standalone,9781408139455,"Reeds Knot Handbook: A Pocket Guide To Knots, Hitches And Bends","All boaters need to have a repertoire of reliable knots and splices they can call upon in many situations, both on board and at the dockside. This handy pocket guide, part of the bestselling Reeds Skipper's Handbook series, is a quick aide memoire for experienced sailors, but also provides novice sailors with all they need to know to master the most useful knots and splices they will need on a regular basis when going to sea. Each knot gets a double page spread with a clear photograph showing what the finished knot should look like, and step-by-step diagrams accompanied by straightforward instructions about how to tie it. Helpful text also describes each knot's use, when and why to use it, how strong it is, how quickly it can be tied (and untied), and what type and thickness of rope can be used to tie it with.  This is the perfect pocket companion.",Books > General,Ingram,9781408139455,13.99,2,Paperback,128,Thomas Reed Publications,English,15/07/2011,141,Jim Whippy
Standalone,9781408157237,Team Spirit: Life And Leadership On One Of The World's Toughest Yacht Races,"Team Spirit is a gripping account of a race on the edge, and a young skipper's determined journey to victory. The Clipper Round the World Yacht Race is the ultimate long distance challenge - a 35,000-mile circumnavigation of the globe, contested by amateur crews in identical racing yachts - and the winners are those who keep their focus the longest.  The 2010 winner was 28-year-old Brendan Hall and his crew in Spirit of Australia. Although Brendan was the youngest and least experienced skipper in the race, the win was no accident - it was the culmination of years of training, skilled navigation and a leadership style way beyond his years.  His leadership skills were soon put to the test - in the middle of a North Pacific hurricane, Brendan went to the rescue of an injured skipper on a competing yacht and skippered both boats across one of the most feared oceans in the world. Brendan's brutally honest, no-holds-barred account is revealing and instructive, with valuable lessons in leadership and management - and never giving up. Thrown in quite literally at the deep end, he is pushed to the limit, and learns lessons you can only learn the hard way.",Books > Sailing,Bertrams,9781408157237,24.99,7,Paperback,240,Adlard Coles Nautical,English,01/07/2012,386,Brendan Hall
Standalone,9781405392761,The Complete Sailing Manual,"Take to the helm with the ultimate guide to sailing. Whether you are a novice or an experienced skipper,  The Complete Sailing Manual  is the practical step-by-step guide that every sailor needs on board. From tacking and mooring to nautical etiquette and using state-of-the-art navigation systems, you'll learn about every aspect of sailing. This updated edition includes all the latest developments in technology, design and sailing procedures as well as advice and information on all types of craft, from dinghies to large cruisers and over 1,000 superb photographs and full-colour diagrams. Accessible, reliable and designed to help you in any sailing situation,  The Complete Sailing Manual  is the one ship mate that won't let you down.",Books > Sailing,Gardners,9781405392761,41.99,3,Hardback,448,Dorling Kindersley Publishers LTD,English,19/01/2012,1460,Steve Sleight
Standalone,9781408154182,Buying A Yacht: New Or Second-Hand,"Buying a boat can be a minefield, but a handbook like this will make it a lot easier for would-be boat owners to make sensible, informed choices.Whether buying a new or second-hand boat, would-be owners will gain expert advice on topics including:- the type of boat suited to their needs- where to find it (brokers, etc)- what to look out for- how to assess it (especially important for secondhand boats)- questions to ask- setting a realistic budget- finding a mooring- insurance- documentation required- and much, much moreLively, modern and attractive, and illustrated with colour photographs throughout, this guide is packed with checklists and insights from real owners who share their experiences. Armed with this book, would-be boat owners are far more likely to end up with the right boat for them!",Books > Sailing,Ingram,9781408154182,27.99,3,Paperback,144,Adlard Coles Nautical,English,19/01/2012,363,Barry Pickthall
Standalone,9781408157275,Crash Test Boat: How Yachting Monthly Took A 40ft Boat Through 8 Disaster Scenarios,"From the people behind the UK's leading sailing magazine for cruisers, comesShip-Wrecked!, a dramatic documentation of controlled sailing disasters which has the potential to save the lives of each and every seaman who buys it.Ship-Wrecked!is unique in its field, with no other title on the market aimed at explicitly reporting the discoveries that sailors make when a yacht crashes. Via passages of reportage and accompanying photography, experienced seamen investigate what happens when typical family yachts are victim to seven different types of sailing disaster. How quickly does a cabin fill with water when the hull is holed? How does one control a gas leak or explosion? What are the essential things to consider when dealing with a dismasting?By providing yachtsmen - whether cruising or racing - with vivid accounts of such extreme circumstances,Ship-Wrecked!equips its readers with vital knowledge on what to do if disaster strikes and, ultimately, gives them a greater chance of survival if their boat is overcome.",Books > Sailing,Ingram,9781408157275,28.99,11,Paperback,176,Adlard Coles Nautical,English,17/01/2013,503,Paul Gelder
Standalone,9781408154175,Buying A Motorboat: New Or Second-Hand,"Buying a boat can be a minefield, but a handbook like this will make it a lot easier for would-be boat owners to make sensible, informed choices.Whether buying a new or second-hand boat, would-be owners will gain expert advice on topics including:- the type of boat suited to their needs- where to find it (brokers, etc)- what to look out for- how to assess it (especially important for secondhand boats)- questions to ask- setting a realistic budget- finding a mooring- insurance- documentation required- and much, much moreLively, modern and attractive, and illustrated with colour photographs throughout, this guide is packed with checklists and insights from real owners who share their experiences. Armed with this book, would-be boat owners are far more likely to end up with the right boat for them!",Books > Motor / Power Boating & Cruising,Bertrams,9781408154175,41.99,4,Paperback,144,Adlard Coles Nautical,English,19/01/2012,365,Barry Pickthall
Standalone,9781408131138,Pass Your Day Skipper,"Since the first edition was published, Pass Your Day Skipper has  helped thousands of students through their shorebased Day Skipper  course. Both concise and comprehensive, this 'crammer' covers all the  essentials of the RYA syllabus, arranged and highlighted to make  revising easier and now updated and improved for the third edition.Throughout, the theory is set in a practical seagoing perspective, and helpful tips on exam tactics are  also provided. And to relieve the tension of all that swotting, each  section is enlivened with some of Mike Peyton's best loved cartoons. 'Well worth investing in to help you pass your Day Skipper with flying colours!' Boat Mart      'All the essentials are covered with lucidity... after you pass, you won't throw it away' Cowes Yachting",Books > General,Ingram,9781408131138,24.99,10,Paperback,104,Adlard Coles Nautical,English,12/01/2011,222,David Fairhall and Mike Peyton
Standalone,9781408154144,Go Dinghy Sailing,"Assuming no prior knowledge, this entry level guide aims to inspire novices of all ages to give sailing a try. Conveying the fun, accessibility and exhilaration of sailing, it covers everything the beginner needs to learn about, whether they are young, middle aged or taking up sailing as a family. Topics include: - How to get started - Where (and how) to find a club - Choosing the right type of boat - The differences between cruising and racing a dinghy - Learning to sail - Trolleying, trailing, launching and recovery - Getting the most out of time on the water Colour photographs illustrate each section, showing novices exactly what to do and inspiring newcomers to get out on the water and give sailing a try.",Books > Sailing,Gardners,9781408154144,28.99,8,Paperback,128,Adlard Coles Nautical,English,01/08/2012,340,Barry Pickthall
Standalone,9781408146484,Dag Pike's Cruising Under Power: The Practicalities Of Cruising,"The aim of this book is to enable novices tocruise safely and enjoyably. It will cover the preparations needed beforeundertaking a cruise, operating the boat under different and sometimeschallenging conditions, how to cope when things go wrong, how to conform to therules and regulations, and how to navigate. It conveys the advice andinformation just as the cruiser will encounter it on passage - from setting offto arriving at their destination (rather than compartmentalised intonavigation/weather/engine etc).Topics include: Preparing to cruise (weather forecasts, route planning, checklists); Leaving harbour (harbour entrances, radio contact, setting courses and speeds,crew briefing, food and drink); Assessingweather and sea conditions (fine tuning plans); Watchkeeping under way (visual and electronic navigation, coping with alarms); Enteringharbour (planning ahead, radio channels, finding an anchorage, speeds); Cruisingat night and in fog (lights, radar, shipping lanes, stopping distance); Adventurouscruising (navigating inshore, beach landing, hidden dangers); Fuelmanagement and economy (economical speeds, boat trim, reserves); Comforton board (cooking and sleeping at sea, security); Whenthings go wrong (potential problems, safety equipment, coping with fire,leaks, grounding, engine problems, calling for help); Rulesand regulations (collision regulations, traffic lanes, going foreign,qualifications).Aimed at owners of powerboats and motor cruisers between 25and 65ft, the book will be entirel",Books > Motor / Power Boating & Cruising,Gardners,9781408146484,37.99,5,Paperback,160,Adlard Coles Nautical,English,01/03/2012,606,Dag Pike
Standalone,9781408124918,High Performance Sailing: Faster Racing Techniques,"'It is the cheapest bit of go-faster gear you can buy...' - Robert Lloyd, Island Sailing Club  'One of the most readable books on the complex subject of sailing faster, and without doubt, a must for every racing sailor' - Yachts and Yachting  Some people like to sail. Some people like to sail fast. This is a book about sailing faster. During the past few decades there has been a revolution in the way some boat designers and sailors have thought about, designed, built and sailed their boats. This book is about the new ideas which have led to these greater speeds and the faster sailing techniques which have been developed to achieve them.  High Performance Sailing has become the standard reference work on high speed racing techniques - the bible for racing sailors, from dinghies right through to America's Cup boats. Ground-breaking in its thinking on boat speed, strategy and tactics, and timeless in its application, it is a book 'which no serious racing yachtsman should be without.' (Kelvin Hughes)  Now in its second edition, High Performance Sailing has been brought right up to date with new information, the discoveries from new boat testing and new developments.",Books > Sailing,Ingram,9781408124918,57.99,2,Paperback,448,Thomas Reed Publications,English,02/07/2010,1334,Frank Bethwaite
Standalone,9780713687835,Total Loss: Dramatic First-Hand Accounts Of Yacht Losses At Sea,"An enthralling collection of 45 dramatic stories of yachts lost at sea, Total Loss  has been a consistent bestseller since first publication. This  fascinating new edition carries exciting first-hand accounts, including  the tragic sinking of the yacht Ouzo, run down or swamped by a P&amp;O ferry in the English Channel, the loss of Hooligan V,  the sinking of two boats in the Atlantic after rudder failure, and the  rescue of Pete Goss and his crew from the giant catamaran Team Philips. Here  are tales of collisions with UFOs (unidentified floating objects),  fire, explosion, exhaustion and crew failure, navigational blunders,  capsize, gear failure, dismastings and severe storms. The moving,  emotionally charged descriptions of shipwrecked sailors abandoning  their yachts at sea will have you on the edge of your seat. But these  accounts are more than just gripping tales of disaster - they carry  valuable lessons which the survivors have been able to pass on to all  who go to sea for pleasure.  Every year, hundreds of yachts are  lost at sea.  For those who wish to avoid a similar fate, or learn how  best to cope with emergencies, this book is a compelling,  thought-provoking bunkside read.",Books > Sailing,Bertrams,9780713687835,14.99,2,Paperback,288,Adlard Coles Nautical,English,20/03/2008,242,Paul Gelder
Standalone,9781408131312,Don't Shoot The Albatross!: Nautical Myths And Superstitions,"Sailors are a notoriously superstitious lot - even if some won't admit  it. Years of taking to the water, at the mercy of uncontrollable (and  sometimes deadly) forces, have led even the wisest to seek ways of  influencing the gods or fate. From bad omens and odd rituals to lucky  tokens and forbidden words, the superstitions of the sea are legion.      Many of these superstitions have refused to go away and quite a few have entered the general public consciousness.  Some are amusing in their own right, others have fascinating origins,  whilst for many there are bizarre anecdotal incidents which would  appear to lend credence to these arcane beliefs.      Illustrated with quirky cartoons, this book explores nautical  superstitions from all over the world in an informative yet  entertaining way.      Includes superstitions about: Boatbuilding, naming and launching; Lucky  and unlucky dates to sail; People, things and animals not to let on  board; Signs and portents at sea; Words not to say (and their  alternatives); Predicting the weather; Fishing; and much, much more.",Books > General,Bertrams,9781408131312,13.99,8,Paperback,96,A & C BLACK PUBLISHERS LTD,English,04/01/2011,98,Jonathan Eyers
Standalone,9781408133200,Can Squid Fly?: Answers To A Host Of Fascinating Questions About The Sea And Sea Life: (follow-Up),"Using the same question and answer format of his highly successful first book Do Whales Get the Bends?, marine expert Tony Rice sets out to answer another selection of general interest questions about the sea, sea life and man's relationship with the oceans. Questions tackled in this book include: * Did the Mediterranean once dry up? * What are sea wasps? * Why is a ship's control room called a bridge? * What is the Pacific Garbage Patch? * What causes the Northern/Southern Lights? Written in the same entertaining style as the first book, and once again illustrated with black and white line drawings, Can Squid Fly? will answer these and many more intriguing questions. Inspired by questions raised whilst the author was a guest lecturer on cruise ships, this fascinating and informative book is a light-hearted yet surprisingly informative read for anyone interested in the sea. Each bite-sized entry is no more than two or three pages long, making it ideal to dip into.",Books > General,Gardners,9781408133200,16.99,9,Paperback,160,Adlard Coles Nautical,English,09/02/2011,349,Tony Rice
Standalone,9781408112724,Doctor On Board: Your Practical Guide To Medical Emergencies At Sea,"Whether close to shore or out of the sight of land, a medical emergency often has to be dealt with swiftly in order to minimise problems or even save life. This book shows the medical novice exactly how to tackle a wide variety of medical situations that might arise, with the help of diagnosis advice and detailed step by step photos. Written specifically for the layman, each procedure is shown in detail and described in non-medical language. This book is an essential on-board guide.",Books > General,Gardners,9781408112724,24.99,4,Paperback,96,Adlard Coles Nautical,English,15/06/2010,218,Jurgen Hauert
Standalone,9781408152058,How To Design A Boat: Sail And Power,"This straightforward guide is designed to take the novice step-by-step through the stages of designing both power and sailing boats, explaining the reasons behind the procedures and using typical lines plans and working drawings to help understanding. Since it was first published, How to Design a Boat has proved itself to be a bestseller. 'A brilliant little book.' Workboat World 'Thoroughly recommended.' Motor Boat &amp; Yachting",Books > General,Bertrams,9781408152058,24.99,1,Paperback,144,Adlard Coles Nautical,English,17/10/2011,263,John Teale
Standalone,9781408186978,Pass Your Day Skipper,"Both concise and comprehensive, this out-and-out 'crammer' covers all the essentials of the RYA Day Skipper syllabus, arranged and highlighted to make revising easier and now updated and expanded for the fifth edition. Since the first edition was published,Pass Your Day Skipperhas helped thousands of students through their shorebased Day Skipper course. Throughout, the theory is set in a practical seagoing perspective,and helpful tips on exam tactics are also provided. And to relieve the tension of all that swotting, each section is enlivened with some of Mike Peyton's best loved cartoons. 'Well worth investing in to help you pass your Day Skipper with flying colours!' Boat Mart 'All the essentials are covered with lucidity... after you pass, you won't throw it away' Cowes Yachting",Books > Sailing,Ingram,9781408186978,22.99,9,Paperback,104,Adlard Coles Nautical,English,03/01/2013,454,David Fairhall and Mike Peyton
Standalone,9781408132111,Manoeuvring: At Close Quarters Under Power,"This is a unique, practical, hands-on guide to boat manoeuvring.      Manoeuvring a yacht under engine at close quarters in a marine of close  to other (expensive!) boats can be a daunting prospect for the  inexperienced skipper - but it has to be done in order to take your  boat off a pontoon to go sailing, and to berth her after a day on the  water. Throw in fast flowing tides, and wind which might blow from the  bow or beam or stern, and the exercise becomes even more of a lottery -  even for the experienced boat handler.      Here at last is a well organised visual guide to coping in every  possible combination of wind and tide. Laid out in a very clear  fashion, with one manoeuvre per page and in a handy wiro format, this  is the ideal teach yourself guide, and the perfect on-board aide  memoire. It will be a godsend to every nervous helmsman, and a good  talking point for crew!",Books > General,Ingram,9781408132111,28.99,11,Paperback,128,Adlard Coles Nautical,English,17/10/2011,349,Bill Johnson
Standalone,9780847837212,Yacht Clubs Of The World,"A lavish survey of the world's most prestigious yacht clubs. Yachting is steeped in tradition, and this handsome volume is a gorgeous, refined collection of the world's top yacht clubs, where sportsmanship is combined with an appreciation for fine living and elegant society. From the Yacht Club Italiano, one of the oldest on the Mediterranean, to the storied New York Yacht Club, which held the longest recorded winning streak in sports by winning the America's Cup 150 years in a row, this book features twenty yacht clubs distinguished by history and tradition, as well as their central role in the social calendar. Among the yacht clubs featured are the Golden Gate Yacht Club, the current defender of the America's Cup; the exotic Royal Hong Kong Yacht Club; and the Yacht Club de Monaco, with its new showcase headquarters designed by Sir Norman Foster.",Books > Sailing,Gardners,9780847837212,107.99,4,Hardback,272,RIZZOLI INTERNATIONAL PUBLICATIONS,English,29/09/2012,2458,Yacht  and  Sail and Bruno Cianci
Standalone,9781408132906,The Adlard Coles Book Of Outboard Motors,"Aimed at boatowners rather than experienced mechanics,  The Adlard Coles Book of Outboard Motors (previously published as  The RYA Book of Outboard Motors )  is a boon to anyone who puts to sea with an outboard engine. Covering  both 2 and 4 stroke engines, the book explains how even the  most sophisticated of modern outboards use simple processes to convert  fuel to power, and then looks at each of the sub-systems that allow  those processes to take place:",Books > General,Bertrams,9781408132906,28.99,7,Paperback,96,Adlard Coles Nautical,English,12/01/2011,265,Tim Bartlett
Standalone,9781408132890,Dinghy Cruising,"Dinghy cruising is a magical way of exploring new coastlines and  experiencing nature at close quarters. For families or solo sailors  alike it offers a memorable adventure at an affordable cost, and with  the freedom to pull up at any time, on any beach or riverbank that  looks appealing.      In this book Margaret Dye shares the knowledge gained from many years'  experience to help others enjoy the experience of cruising in a dinghy  to the full. With practical advice on how to prepare and equip the boat  and tips on how best to cruise in a dinghy, this book will be a boon to  anyone - of any age - who longs for the freedom to go where they like  when they like on the water.      Newly updated to reflect recent developments in kit, equipment and  techniques, this edition also includes a chapter on dinghy cruising for  those with disabilities.      'Inspirational stuff for lovers of small boats'  Classic Boat       'The ultimate textbook for adventuring by dinghy'  Cruising",Books > Sailing,Gardners,9781408132890,28.99,2,Paperback,224,Adlard Coles Nautical,English,15/03/2011,397,Margaret Dye
Standalone,9781408127025,"Coastal Turmoil: Winds, Waves And Tidal Races","Most boating is done in coastal waters, yet being close to land can  often present greater dangers than sailing offshore. Near to the coast,  sea conditions are more complex: winds and currents change in strength  and direction, often unpredictably, waves are distorted by shallows,  and even in fine weather there are tidal races, tricky headlands and  other areas of rough water that can increase the risks of human error,  gear failure and seasickness.  Many  of the recommended techniques used in offshore voyaging - such as lying  to a sea anchor or trailing warps - are not suitable when close to  land. In this highly practical guide, filled with helpful tips,  real-time techniques and sound advice borne of years of first hand  experience, Ken Endean explains the phenomena of rough water and shows  how a good understanding of coastal sea conditions and careful passage  planning should enable boaters to avoid the roughest areas, seek  shelter underway and thereby reduce passage times.  He includes  advice on: coastal winds and waves, shallow water and shoaling, swells  and currents, tides and currents in conflict, estuary effects, bars and  banks, when to take the long way, how to read the surface, getting into  harbour safely, making the most of smooth water, and much more.  Coastal  boaters have little scope for mistakes and plenty of opportunities to  exercise skill and sound seamanship - this practical down-to-earth book  will enable everyone, whether in a yacht or a powerboat, to do just  that.",Books > General,Ingram,9781408127025,32.99,10,Paperback,160,A & C BLACK PUBLISHERS LTD,English,24/08/2010,460,Ken Endean
Standalone,9781408152843,Pass Your Yachtmaster,"The aim of this book, now revised for the 5th edition, is to help students through their shore-based Yachtmaster course. Both concise and comprehensive, this 'crammer' covers all the essentials of the RYA syllabus, arranged and highlighted to make revising easier. Throughout, the theory is set in a practical seagoing perspective. Tips on exam tacticsare provided, and to relieve the tension of all that swotting, each section is enlivened with some of Mike Peyton's best loved cartoons. This book has proved a real help to aspiring Yachtmasters. 'A wealth of information, simply laid out' Cruising",Books > Sailing,Ingram,9781408152843,22.99,0,Paperback,112,Adlard Coles Nautical,English,15/03/2012,234,David Fairhall and Mike Peyton
Standalone,9781408123386,Sail Trim: Theory And Practice,"Sail trim is the art of setting sails in response to the varying conditions imposed by the wind, waves, boat speed and desired course. Regarded as something of a black art, good sail trim can mean the difference between winning and losing a race or reaching harbour before the tide turns. This book demonstrates the skill of good sail trim with the aid of superb colour diagrams and photographs, to enable racers and cruisers alike to sail efficiently and get the most out of their boats. Taking account of all types of wind condition the author explains: - aero and hydrodynamics - rig types - the best way to rig a vessel - sail cloth and cut - the right trim for mainsail and smaller sails - sailing before the wind  There is really only one way to set your sails for maximum efficiency; this book explains how.",Books > Sailing,Gardners,9781408123386,28.99,10,Paperback,120,Adlard Coles Nautical,English,04/08/2010,230,Peter Hahne
Standalone,9781408146477,Sailing Gold,"This gorgeous photographic coffee table book reflects the entire history of Olympic sailing, with spectacular photographs celebrating heroes such as Paul Elvstrom and Ben Ainslie, fabulous locations, legendary classes - and the never-ending struggle of an Olympic sailor to make his mark.  Sections cover: - An overview of the three eras of Olympic sailing (early years and yachting; modern dinghy racing and Elvstrom; the new professional era and Ainslie) - Origins - how sailing came to be in the Olympics  - The struggle - training, teamwork, trials, selection, hope and heart-aching near misses - Legendary classes and boat designers - those that made an enduring impact - The new era - including the 49er, Laser, 470 and Europe, enabling fast and furious sailing - Fabulous locations - including Mexico, Montreal, Sydney, Athens and China  - Icons, gold and glory - celebrating great Olympians, whose titanic struggles, outstanding achievements and logic-defying victories live on in the popular memory and add to the 'draw' of the Olympic legacy  Featuring awe-inspiring images from the best sailing photographers in the world, each with an enlightening and entertaining commentary, this stunning book is a true celebration of this amazing sport through the years.",Books > Sailing,Ingram,9781408146477,45.99,9,Paperback,176,Thomas Reed Publications,English,01/03/2012,1043,Mark Chisnell
